Timestamp,Traffic Volume (Mbps),Network Latency (ms),Throughput (Mbps),Packet Loss (%),Signal Strength (dBm),Resource Allocation (%),Handover Success (0/1)
2025-01-27 18:00:00,4.904,49.0,35.0,0.57,-84.0,85.0,0
2025-01-27 18:00:01,5.352,35.0,15.0,0.69,-82.0,50.0,0
2025-01-27 18:00:02,5.344,16.0,15.0,1.97,-83.0,72.0,0
2025-01-27 18:00:03,2.304,14.0,33.0,1.72,-78.0,68.0,0
2025-01-27 18:00:04,1.064,32.0,34.0,0.93,-70.0,52.0,1
2025-01-27 18:00:05,1.296,42.0,37.0,0.72,-75.0,83.0,1
2025-01-27 18:00:06,5.68,30.0,28.0,0.2,-64.0,86.0,1
2025-01-27 18:00:07,5.456,10.0,22.0,0.59,-74.0,54.0,1
2025-01-27 18:00:08,6.656,34.0,24.0,0.92,-62.0,85.0,0
2025-01-27 18:00:09,1.496,20.0,33.0,1.96,-85.0,82.0,1
2025-01-27 18:00:10,1.304,39.0,41.0,2.66,-62.0,85.0,1
2025-01-27 18:00:11,5.856,32.0,47.0,1.23,-89.0,87.0,1
2025-01-27 18:00:12,5.928,27.0,11.0,2.56,-78.0,52.0,0
2025-01-27 18:00:13,7.672,14.0,28.0,0.38,-66.0,76.0,1
2025-01-27 18:00:14,4.368,49.0,33.0,1.8,-76.0,60.0,0
2025-01-27 18:00:15,0.888,26.0,46.0,1.81,-66.0,73.0,0
2025-01-27 18:00:16,2.144,42.0,25.0,0.37,-72.0,76.0,1
2025-01-27 18:00:17,3.24,28.0,14.0,0.25,-67.0,57.0,0
2025-01-27 18:00:18,4.008,11.0,10.0,1.21,-71.0,57.0,1
2025-01-27 18:00:19,6.968,31.0,23.0,0.71,-72.0,81.0,0
2025-01-27 18:00:20,4.568,42.0,30.0,1.96,-89.0,66.0,0
2025-01-27 18:00:21,7.368,10.0,38.0,2.62,-73.0,60.0,1
2025-01-27 18:00:22,0.888,47.0,38.0,2.68,-68.0,89.0,1
2025-01-27 18:00:23,7.208,36.0,22.0,0.17,-84.0,70.0,0
2025-01-27 18:00:24,1.488,34.0,11.0,0.88,-76.0,55.0,1
2025-01-27 18:00:25,1.96,27.0,43.0,0.61,-87.0,69.0,1
2025-01-27 18:00:26,2.84,41.0,43.0,2.28,-84.0,52.0,0
2025-01-27 18:00:27,6.96,41.0,30.0,2.54,-74.0,62.0,0
2025-01-27 18:00:28,4.984,16.0,48.0,0.95,-81.0,79.0,1
2025-01-27 18:00:29,0.808,41.0,29.0,1.85,-76.0,65.0,0
