Timestamp,Traffic Volume (Mbps),Network Latency (ms),Throughput (Mbps),Packet Loss (%),Signal Strength (dBm),Resource Allocation (%),Handover Success (0/1)
2025-01-27 18:00:00,4.904,49,35,0.57,-84,85,0
2025-01-27 18:00:01,5.352,35,15,0.69,-82,50,0
2025-01-27 18:00:02,5.344,16,15,1.97,-83,72,0
2025-01-27 18:00:03,2.304,14,33,1.72,-78,68,0
2025-01-27 18:00:04,1.064,32,34,0.93,-70,52,1
2025-01-27 18:00:05,1.296,42,37,0.72,-75,83,1
2025-01-27 18:00:06,5.68,30,28,0.2,-64,86,1
2025-01-27 18:00:07,5.456,10,22,0.59,-74,54,1
2025-01-27 18:00:08,6.656,34,24,0.92,-62,85,0
2025-01-27 18:00:09,1.496,20,33,1.96,-85,82,1
2025-01-27 18:00:10,1.304,39,41,2.66,-62,85,1
2025-01-27 18:00:11,5.856,32,47,1.23,-89,87,1
2025-01-27 18:00:12,5.928,27,11,2.56,-78,52,0
2025-01-27 18:00:13,7.672,14,28,0.38,-66,76,1
2025-01-27 18:00:14,4.368,49,33,1.8,-76,60,0
2025-01-27 18:00:15,0.888,26,46,1.81,-66,73,0
2025-01-27 18:00:16,2.144,42,25,0.37,-72,76,1
2025-01-27 18:00:17,3.24,28,14,0.25,-67,57,0
2025-01-27 18:00:18,4.008,11,10,1.21,-71,57,1
2025-01-27 18:00:19,6.968,31,23,0.71,-72,81,0
2025-01-27 18:00:20,4.568,42,30,1.96,-89,66,0
2025-01-27 18:00:21,7.368,10,38,2.62,-73,60,1
2025-01-27 18:00:22,0.888,47,38,2.68,-68,89,1
2025-01-27 18:00:23,7.208,36,22,0.17,-84,70,0
2025-01-27 18:00:24,1.488,34,11,0.88,-76,55,1
2025-01-27 18:00:25,1.96,27,43,0.61,-87,69,1
2025-01-27 18:00:26,2.84,41,43,2.28,-84,52,0
2025-01-27 18:00:27,6.96,41,30,2.54,-74,62,0
2025-01-27 18:00:28,4.984,16,48,0.95,-81,79,1
2025-01-27 18:00:29,0.808,41,29,1.85,-76,65,0
2025-01-27 18:00:30,7.408,37,49,1.73,-65,79,1
2025-01-27 18:00:31,6.104,16,20,2.57,-77,66,0
2025-01-27 18:00:32,5.344,47,25,1.31,-85,75,0
2025-01-27 18:00:33,2.984,42,32,2.54,-79,78,0
2025-01-27 18:00:34,5.392,41,46,2.99,-85,70,1
2025-01-27 18:00:35,7.272,38,30,2.2,-70,73,1
2025-01-27 18:00:36,1.28,42,12,0.87,-64,79,1
2025-01-27 18:00:37,5.408,40,44,2.57,-81,71,0
2025-01-27 18:00:38,7.936,33,10,1.75,-85,50,0
2025-01-27 18:00:39,2.496,32,49,0.54,-78,76,1
2025-01-27 18:00:40,2.064,38,32,2.03,-62,59,0
2025-01-27 18:00:41,6.36,14,13,1.44,-62,61,1
2025-01-27 18:00:42,3.776,47,24,0.4,-68,72,1
2025-01-27 18:00:43,1.328,11,15,0.66,-73,65,0
2025-01-27 18:00:44,4.168,31,24,1.81,-66,76,1
2025-01-27 18:00:45,7.872,36,44,1.88,-84,71,0
2025-01-27 18:00:46,1.704,37,24,0.29,-67,84,0
2025-01-27 18:00:47,7.88,32,14,2.88,-66,57,1
2025-01-27 18:00:48,3.784,42,21,1.65,-61,81,1
2025-01-27 18:00:49,3.496,17,49,1.79,-71,55,0
2025-01-27 18:00:50,6.152,40,30,1.22,-65,68,0
2025-01-27 18:00:51,6.136,19,10,1.11,-79,88,0
2025-01-27 18:00:52,6.704,19,15,1.29,-64,66,0
2025-01-27 18:00:53,4.624,35,46,2.16,-87,70,1
2025-01-27 18:00:54,2.368,29,13,1.65,-82,87,1
2025-01-27 18:00:55,3.664,22,28,2.32,-70,82,1
2025-01-27 18:00:56,1.272,31,15,0.1,-80,69,0
2025-01-27 18:00:57,7.768,44,36,1.27,-78,76,0
2025-01-27 18:00:58,7.488,46,25,1.72,-70,81,1
2025-01-27 18:00:59,1.696,33,34,0.5,-76,86,0
2025-01-27 18:01:00,6.768,48,35,2.4,-68,76,0
2025-01-27 18:01:01,1.688,11,20,0.2,-61,78,1
2025-01-27 18:01:02,7.096,17,17,1.63,-84,61,0
2025-01-27 18:01:03,5.048,33,46,2.71,-81,62,0
2025-01-27 18:01:04,5.872,42,22,1.6,-65,67,1
2025-01-27 18:01:05,2.712,44,19,1.61,-83,82,1
2025-01-27 18:01:06,4.32,36,34,0.68,-79,52,1
2025-01-27 18:01:07,3.952,28,38,0.34,-78,78,0
2025-01-27 18:01:08,7.864,31,49,0.29,-73,59,1
2025-01-27 18:01:09,6.912,10,45,0.78,-73,88,0
2025-01-27 18:01:10,7.256,44,18,0.55,-70,73,0
2025-01-27 18:01:11,5.528,24,23,1.52,-78,74,1
2025-01-27 18:01:12,3.328,41,35,0.94,-77,52,1
2025-01-27 18:01:13,7.312,37,36,1.57,-72,55,1
2025-01-27 18:01:14,1.032,32,10,2.15,-85,50,0
2025-01-27 18:01:15,6.864,14,27,0.14,-67,58,0
2025-01-27 18:01:16,4.08,27,44,1.1,-83,73,0
2025-01-27 18:01:17,2.032,14,35,2.26,-85,72,1
2025-01-27 18:01:18,1.12,30,26,0.6,-85,51,0
2025-01-27 18:01:19,7.944,26,32,0.62,-64,80,1
2025-01-27 18:01:20,3.112,25,36,2.25,-90,66,1
2025-01-27 18:01:21,2.48,43,45,2.58,-70,76,1
2025-01-27 18:01:22,7.128,31,11,2.93,-70,66,1
2025-01-27 18:01:23,7.656,44,29,0.91,-62,70,1
2025-01-27 18:01:24,6.928,32,26,2.74,-69,51,0
2025-01-27 18:01:25,4.816,23,35,2.39,-61,71,1
2025-01-27 18:01:26,3.456,39,40,1.69,-69,50,0
2025-01-27 18:01:27,4.304,47,29,1.84,-81,66,1
2025-01-27 18:01:28,3.408,32,14,1.42,-62,87,1
2025-01-27 18:01:29,3.208,14,31,1.2,-80,54,0
2025-01-27 18:01:30,6.76,19,34,2.75,-88,86,1
2025-01-27 18:01:31,4.272,32,20,2.88,-68,63,0
2025-01-27 18:01:32,3.16,43,25,1.6,-89,56,0
2025-01-27 18:01:33,6.656,31,12,1.51,-65,77,0
2025-01-27 18:01:34,6.2,43,30,1.86,-73,78,0
2025-01-27 18:01:35,2.272,19,28,2.58,-66,63,0
2025-01-27 18:01:36,5.064,39,23,1.9,-85,58,0
2025-01-27 18:01:37,4.368,26,19,1.97,-81,74,1
2025-01-27 18:01:38,5.576,47,36,1.93,-69,76,1
2025-01-27 18:01:39,7.128,21,48,2.87,-87,56,1
2025-01-27 18:01:40,1.032,47,17,2.58,-66,58,0
2025-01-27 18:01:41,2.336,45,46,2.69,-64,82,1
2025-01-27 18:01:42,1.264,30,42,0.57,-72,70,0
2025-01-27 18:01:43,6.224,11,21,0.47,-86,54,0
2025-01-27 18:01:44,5.152,39,25,1.09,-86,89,0
2025-01-27 18:01:45,2.488,10,11,1.21,-62,51,1
2025-01-27 18:01:46,4.632,29,10,0.13,-89,61,0
2025-01-27 18:01:47,1.56,35,18,0.39,-78,59,1
2025-01-27 18:01:48,6.88,16,12,1.59,-64,86,0
2025-01-27 18:01:49,3.304,37,36,1.29,-68,66,0
2025-01-27 18:01:50,0.976,40,49,0.63,-73,52,0
2025-01-27 18:01:51,2.624,41,10,0.3,-82,60,0
2025-01-27 18:01:52,5.088,24,20,0.52,-62,59,0
2025-01-27 18:01:53,6.016,44,20,0.18,-78,69,0
2025-01-27 18:01:54,2.96,20,48,2.57,-78,84,1
2025-01-27 18:01:55,7.256,40,10,2.3,-83,58,1
2025-01-27 18:01:56,6.248,39,30,0.31,-75,75,0
2025-01-27 18:01:57,6.432,27,40,0.78,-66,82,1
2025-01-27 18:01:58,5.592,36,47,1.06,-73,64,1
2025-01-27 18:01:59,1.24,25,49,2.15,-75,57,0
2025-01-27 18:02:00,7.928,22,47,1.49,-81,54,0
2025-01-27 18:02:01,2.904,17,36,2.31,-62,72,1
2025-01-27 18:02:02,1.536,47,23,2.96,-70,76,1
2025-01-27 18:02:03,5.616,32,12,0.74,-67,84,0
2025-01-27 18:02:04,7.464,36,19,0.41,-79,79,1
2025-01-27 18:02:05,0.968,22,47,2.67,-81,68,0
2025-01-27 18:02:06,6.184,18,22,1.99,-78,89,0
2025-01-27 18:02:07,1.264,13,31,2.58,-66,76,1
2025-01-27 18:02:08,4.592,40,29,1.55,-90,70,0
2025-01-27 18:02:09,4.4,46,46,1.88,-69,62,0
2025-01-27 18:02:10,6.856,36,22,2.29,-75,58,1
2025-01-27 18:02:11,7.472,39,10,1.02,-83,73,0
2025-01-27 18:02:12,3.848,28,26,0.72,-88,84,0
2025-01-27 18:02:13,5.84,49,19,0.92,-66,83,1
2025-01-27 18:02:14,7.648,24,44,2.62,-86,71,1
2025-01-27 18:02:15,0.824,44,34,1.38,-64,85,0
2025-01-27 18:02:16,3.856,35,25,0.32,-63,84,0
2025-01-27 18:02:17,3.816,28,31,1.74,-76,59,0
2025-01-27 18:02:18,2.2,15,27,2.76,-78,70,0
2025-01-27 18:02:19,1.04,23,46,2.33,-65,72,1
2025-01-27 18:02:20,2.64,32,11,1.61,-89,84,0
2025-01-27 18:02:21,5.752,32,29,1.57,-86,58,1
2025-01-27 18:02:22,7.096,14,11,1.83,-67,64,1
2025-01-27 18:02:23,3.448,22,40,0.43,-69,72,1
2025-01-27 18:02:24,4.544,27,35,2.89,-61,73,0
2025-01-27 18:02:25,6.112,15,42,2.99,-63,89,1
2025-01-27 18:02:26,2.096,41,47,2.94,-72,55,1
2025-01-27 18:02:27,2.544,33,20,2.98,-84,86,1
2025-01-27 18:02:28,5.184,45,46,1.23,-61,54,0
2025-01-27 18:02:29,6.44,32,31,1.36,-85,63,1
2025-01-27 18:02:30,1.584,22,40,1.13,-80,73,1
2025-01-27 18:02:31,2.88,37,34,0.71,-64,72,0
2025-01-27 18:02:32,1.152,42,18,2.59,-61,75,0
2025-01-27 18:02:33,1.496,24,16,0.24,-69,71,0
2025-01-27 18:02:34,1.16,37,17,2.58,-80,73,1
2025-01-27 18:02:35,6.496,13,45,0.49,-68,79,0
2025-01-27 18:02:36,3.184,12,21,1.17,-87,74,0
2025-01-27 18:02:37,2.4,44,47,2.86,-65,70,1
2025-01-27 18:02:38,1.776,13,49,1.32,-78,75,1
2025-01-27 18:02:39,5.288,26,39,2.47,-77,63,1
2025-01-27 18:02:40,6.128,18,22,2.33,-65,77,0
2025-01-27 18:02:41,3.16,10,22,1.74,-67,74,0
2025-01-27 18:02:42,5.936,34,25,1.33,-88,63,0
2025-01-27 18:02:43,6.064,38,17,0.19,-76,69,1
2025-01-27 18:02:44,3.528,30,14,1.93,-80,86,1
2025-01-27 18:02:45,6.496,38,33,0.59,-68,64,0
2025-01-27 18:02:46,2.08,17,47,0.26,-74,82,0
2025-01-27 18:02:47,5.488,29,32,1.78,-78,75,0
2025-01-27 18:02:48,3.56,37,36,1.2,-77,70,1
2025-01-27 18:02:49,4.424,49,48,0.8,-78,63,0
2025-01-27 18:02:50,2.464,17,17,1.27,-74,50,0
2025-01-27 18:02:51,7.584,19,28,0.38,-88,62,1
2025-01-27 18:02:52,2.664,22,30,1.43,-66,82,0
2025-01-27 18:02:53,4.784,12,48,0.55,-65,53,1
2025-01-27 18:02:54,3.776,43,40,0.69,-74,81,1
2025-01-27 18:02:55,5.384,15,46,1.46,-79,71,0
2025-01-27 18:02:56,3.704,49,34,1.46,-89,84,0
2025-01-27 18:02:57,2.944,44,28,2.74,-61,72,1
2025-01-27 18:02:58,6.96,36,20,1.2,-85,59,1
2025-01-27 18:02:59,5.952,13,16,0.46,-76,62,0
2025-01-27 18:03:00,4.544,38,34,2.09,-62,56,1
2025-01-27 18:03:01,7.152,44,40,0.37,-79,59,1
2025-01-27 18:03:02,5.168,22,19,2.0,-61,67,0
2025-01-27 18:03:03,1.616,32,30,1.47,-88,70,0
2025-01-27 18:03:04,3.296,35,21,2.75,-88,70,0
2025-01-27 18:03:05,7.08,21,16,1.9,-89,68,1
2025-01-27 18:03:06,5.792,24,15,0.87,-82,64,1
2025-01-27 18:03:07,3.88,41,30,2.18,-75,89,1
2025-01-27 18:03:08,7.384,35,23,1.91,-70,59,1
2025-01-27 18:03:09,1.52,45,39,2.5,-77,83,0
2025-01-27 18:03:10,6.88,47,31,1.5,-75,58,1
2025-01-27 18:03:11,1.104,33,23,0.77,-86,60,0
2025-01-27 18:03:12,1.936,44,32,1.75,-61,70,0
2025-01-27 18:03:13,1.08,40,49,2.15,-78,62,1
2025-01-27 18:03:14,2.376,43,36,1.9,-70,87,1
2025-01-27 18:03:15,3.56,43,26,2.6,-65,87,0
2025-01-27 18:03:16,4.864,32,14,0.23,-74,62,0
2025-01-27 18:03:17,5.568,43,28,2.74,-87,81,1
2025-01-27 18:03:18,7.16,36,28,0.87,-72,53,0
2025-01-27 18:03:19,1.168,37,46,1.72,-76,55,1
2025-01-27 18:03:20,4.792,17,45,0.22,-76,56,0
2025-01-27 18:03:21,3.168,32,19,1.82,-79,68,0
2025-01-27 18:03:22,6.16,37,13,1.37,-74,86,1
2025-01-27 18:03:23,7.744,13,42,1.27,-84,80,0
2025-01-27 18:03:24,7.768,28,39,2.0,-86,64,1
2025-01-27 18:03:25,1.184,38,24,0.49,-83,88,1
2025-01-27 18:03:26,7.664,42,21,1.42,-85,73,0
2025-01-27 18:03:27,3.152,16,49,1.91,-80,88,0
2025-01-27 18:03:28,6.544,12,24,2.2,-73,55,0
2025-01-27 18:03:29,6.6,35,39,2.33,-65,60,1
2025-01-27 18:03:30,6.008,17,24,0.73,-62,56,0
2025-01-27 18:03:31,4.576,24,28,1.56,-72,65,1
2025-01-27 18:03:32,7.76,15,48,0.81,-63,89,0
2025-01-27 18:03:33,3.208,28,31,0.7,-78,53,1
2025-01-27 18:03:34,7.704,12,35,0.58,-84,69,0
2025-01-27 18:03:35,5.296,40,27,1.8,-73,51,1
2025-01-27 18:03:36,5.576,15,33,1.5,-65,89,1
2025-01-27 18:03:37,6.92,31,41,2.5,-77,69,0
2025-01-27 18:03:38,5.4,33,38,0.62,-78,85,1
2025-01-27 18:03:39,1.336,16,46,1.85,-74,67,0
2025-01-27 18:03:40,6.248,20,35,1.43,-71,55,1
2025-01-27 18:03:41,1.832,23,24,0.24,-85,67,1
2025-01-27 18:03:42,3.656,28,48,1.87,-69,62,1
2025-01-27 18:03:43,3.752,23,25,1.64,-85,58,0
2025-01-27 18:03:44,3.296,41,28,0.5,-75,83,1
2025-01-27 18:03:45,3.568,45,48,0.33,-66,64,1
2025-01-27 18:03:46,0.96,41,40,0.55,-61,81,0
2025-01-27 18:03:47,7.656,48,45,0.33,-70,65,1
2025-01-27 18:03:48,3.456,29,27,1.48,-68,61,0
2025-01-27 18:03:49,6.16,33,48,0.65,-69,71,0
2025-01-27 18:03:50,2.544,15,37,2.91,-88,52,1
2025-01-27 18:03:51,0.824,19,34,0.82,-84,80,1
2025-01-27 18:03:52,2.6,33,17,1.25,-64,86,0
2025-01-27 18:03:53,1.648,26,17,1.08,-77,71,1
2025-01-27 18:03:54,5.456,11,32,0.44,-88,53,1
2025-01-27 18:03:55,0.824,39,45,1.0,-73,55,1
2025-01-27 18:03:56,4.664,38,25,0.28,-79,53,1
2025-01-27 18:03:57,0.864,13,26,2.32,-77,65,1
2025-01-27 18:03:58,6.136,32,26,1.15,-77,71,0
2025-01-27 18:03:59,4.192,46,31,1.12,-69,87,0
2025-01-27 18:04:00,4.856,36,36,2.81,-71,60,1
2025-01-27 18:04:01,6.192,40,45,1.5,-72,82,0
2025-01-27 18:04:02,1.856,46,29,2.46,-70,62,1
2025-01-27 18:04:03,7.736,12,43,0.49,-89,54,0
2025-01-27 18:04:04,4.912,45,13,1.29,-72,89,1
2025-01-27 18:04:05,3.448,20,15,1.16,-76,87,0
2025-01-27 18:04:06,6.4,33,22,2.96,-70,60,1
2025-01-27 18:04:07,5.16,39,42,1.86,-83,53,0
2025-01-27 18:04:08,0.888,16,47,1.72,-70,66,0
2025-01-27 18:04:09,3.816,30,16,1.91,-80,82,1
2025-01-27 18:04:10,4.744,32,17,1.48,-80,61,1
2025-01-27 18:04:11,1.96,24,26,0.86,-62,62,1
2025-01-27 18:04:12,4.816,29,12,2.99,-76,60,0
2025-01-27 18:04:13,7.312,45,47,1.88,-82,84,1
2025-01-27 18:04:14,1.024,39,39,2.02,-82,69,1
2025-01-27 18:04:15,5.192,36,43,1.01,-66,51,1
2025-01-27 18:04:16,2.632,25,24,1.3,-85,51,1
2025-01-27 18:04:17,5.088,40,25,1.44,-69,65,1
2025-01-27 18:04:18,7.064,25,45,2.57,-66,79,1
2025-01-27 18:04:19,3.048,20,45,2.21,-65,50,0
2025-01-27 18:04:20,6.032,39,23,0.51,-66,88,1
2025-01-27 18:04:21,5.4,15,12,0.2,-62,66,1
2025-01-27 18:04:22,7.008,24,21,0.67,-79,70,0
2025-01-27 18:04:23,6.584,10,32,0.27,-66,61,1
2025-01-27 18:04:24,6.592,26,45,1.32,-80,81,0
2025-01-27 18:04:25,3.68,33,23,2.12,-73,75,0
2025-01-27 18:04:26,2.264,15,36,1.91,-80,73,0
2025-01-27 18:04:27,1.12,47,42,2.14,-78,63,0
2025-01-27 18:04:28,5.536,26,33,1.15,-77,71,0
2025-01-27 18:04:29,2.768,14,18,0.99,-77,62,0
2025-01-27 18:04:30,6.904,35,45,0.5,-83,53,0
2025-01-27 18:04:31,4.456,32,33,0.39,-67,69,1
2025-01-27 18:04:32,4.624,26,27,0.86,-69,53,0
2025-01-27 18:04:33,5.544,15,41,0.7,-90,89,1
2025-01-27 18:04:34,5.08,15,34,2.46,-76,75,1
2025-01-27 18:04:35,6.344,37,31,1.42,-73,85,0
2025-01-27 18:04:36,5.76,13,40,2.18,-88,55,0
2025-01-27 18:04:37,1.024,17,46,2.62,-79,82,1
2025-01-27 18:04:38,1.864,12,47,1.63,-88,67,1
2025-01-27 18:04:39,5.8,35,28,1.31,-71,56,1
2025-01-27 18:04:40,1.912,21,34,1.01,-64,50,0
2025-01-27 18:04:41,5.176,25,29,0.45,-65,52,0
2025-01-27 18:04:42,3.36,38,15,0.21,-73,62,1
2025-01-27 18:04:43,4.48,39,34,2.24,-61,68,1
2025-01-27 18:04:44,2.088,26,43,2.9,-79,59,1
2025-01-27 18:04:45,4.456,44,11,2.97,-87,53,0
2025-01-27 18:04:46,6.4,10,41,2.23,-89,83,0
2025-01-27 18:04:47,4.192,25,36,2.0,-62,71,1
2025-01-27 18:04:48,2.064,37,19,1.64,-78,82,0
2025-01-27 18:04:49,5.744,42,30,2.47,-68,53,1
2025-01-27 18:04:50,3.032,18,47,2.66,-75,85,0
2025-01-27 18:04:51,3.448,21,16,0.73,-80,82,1
2025-01-27 18:04:52,1.056,41,22,0.52,-80,68,1
2025-01-27 18:04:53,6.368,18,13,2.22,-77,79,1
2025-01-27 18:04:54,7.816,28,35,0.28,-62,87,1
2025-01-27 18:04:55,5.344,36,38,1.91,-81,72,1
2025-01-27 18:04:56,4.552,37,38,1.22,-84,71,0
2025-01-27 18:04:57,1.904,43,44,1.78,-77,82,0
2025-01-27 18:04:58,3.248,38,14,1.48,-82,87,1
2025-01-27 18:04:59,4.864,13,27,2.09,-74,66,1
2025-01-27 18:05:00,2.952,32,30,0.46,-80,55,1
2025-01-27 18:05:01,4.48,37,13,1.88,-75,53,1
2025-01-27 18:05:02,6.84,38,35,2.2,-76,84,1
2025-01-27 18:05:03,6.336,22,32,1.68,-82,57,0
2025-01-27 18:05:04,2.0,11,40,1.02,-73,77,0
2025-01-27 18:05:05,7.08,16,14,0.31,-73,89,1
2025-01-27 18:05:06,1.552,35,20,1.3,-77,50,1
2025-01-27 18:05:07,4.304,16,25,0.74,-81,83,0
2025-01-27 18:05:08,3.456,36,22,0.54,-85,56,0
2025-01-27 18:05:09,5.648,25,16,1.13,-68,54,0
2025-01-27 18:05:10,3.12,36,27,2.75,-67,64,0
2025-01-27 18:05:11,7.192,37,24,0.88,-87,71,1
2025-01-27 18:05:12,7.208,43,48,1.51,-76,65,0
2025-01-27 18:05:13,4.28,23,36,0.37,-87,65,0
2025-01-27 18:05:14,1.12,27,36,0.51,-73,81,1
2025-01-27 18:05:15,0.848,14,21,0.93,-72,56,1
2025-01-27 18:05:16,6.744,38,33,1.58,-90,73,0
2025-01-27 18:05:17,1.904,34,40,0.64,-65,52,0
2025-01-27 18:05:18,3.376,14,26,1.04,-85,63,0
2025-01-27 18:05:19,1.816,28,39,0.47,-71,73,1
2025-01-27 18:05:20,6.288,44,44,1.97,-76,88,0
2025-01-27 18:05:21,7.984,33,36,0.29,-76,84,1
2025-01-27 18:05:22,7.384,24,12,2.84,-67,75,1
2025-01-27 18:05:23,4.864,30,37,1.46,-61,81,0
2025-01-27 18:05:24,0.808,13,35,0.22,-74,84,1
2025-01-27 18:05:25,4.008,35,33,0.36,-72,55,0
2025-01-27 18:05:26,2.584,23,12,0.12,-86,74,0
2025-01-27 18:05:27,1.976,11,19,1.51,-79,66,0
2025-01-27 18:05:28,6.12,12,45,2.33,-72,76,1
2025-01-27 18:05:29,7.664,43,45,1.35,-69,76,0
2025-01-27 18:05:30,2.96,18,49,0.44,-64,61,0
2025-01-27 18:05:31,7.52,19,35,1.5,-86,53,0
2025-01-27 18:05:32,4.168,32,41,1.28,-66,50,0
2025-01-27 18:05:33,6.688,12,31,0.18,-61,62,1
2025-01-27 18:05:34,3.552,27,21,2.23,-78,78,1
2025-01-27 18:05:35,4.976,32,10,1.3,-82,66,0
2025-01-27 18:05:36,7.968,37,47,0.41,-66,58,0
2025-01-27 18:05:37,2.76,46,14,2.48,-65,73,1
2025-01-27 18:05:38,7.44,22,14,0.11,-63,55,1
2025-01-27 18:05:39,2.248,29,36,1.54,-90,53,1
2025-01-27 18:05:40,2.36,23,11,0.59,-87,69,0
2025-01-27 18:05:41,2.528,14,15,1.51,-62,79,1
2025-01-27 18:05:42,2.488,14,22,2.32,-76,72,1
2025-01-27 18:05:43,1.64,13,25,0.87,-83,59,1
2025-01-27 18:05:44,1.624,14,27,2.21,-61,68,0
2025-01-27 18:05:45,1.312,42,35,1.04,-68,63,0
2025-01-27 18:05:46,3.0,28,20,1.84,-68,66,0
2025-01-27 18:05:47,5.016,22,45,1.46,-72,77,1
2025-01-27 18:05:48,3.792,25,41,2.06,-83,68,0
2025-01-27 18:05:49,6.968,34,33,0.89,-90,78,0
2025-01-27 18:05:50,4.664,15,23,1.61,-88,82,1
2025-01-27 18:05:51,2.368,33,10,1.38,-67,58,1
2025-01-27 18:05:52,3.472,38,10,1.39,-68,76,0
2025-01-27 18:05:53,4.488,17,26,1.76,-76,55,0
2025-01-27 18:05:54,5.008,10,22,0.94,-84,88,0
2025-01-27 18:05:55,1.76,32,12,0.61,-80,51,1
2025-01-27 18:05:56,6.632,43,34,2.24,-66,88,1
2025-01-27 18:05:57,6.848,39,48,1.54,-90,68,1
2025-01-27 18:05:58,5.816,20,17,0.16,-63,73,1
2025-01-27 18:05:59,1.536,47,41,1.83,-63,85,0
2025-01-27 18:06:00,3.624,28,44,2.22,-66,81,1
2025-01-27 18:06:01,3.688,40,40,0.45,-87,76,0
2025-01-27 18:06:02,4.272,12,46,0.51,-67,54,1
2025-01-27 18:06:03,6.032,11,48,2.99,-62,53,1
2025-01-27 18:06:04,2.944,35,11,2.17,-87,52,1
2025-01-27 18:06:05,1.208,41,30,1.9,-82,70,1
2025-01-27 18:06:06,3.696,30,42,0.32,-76,73,0
2025-01-27 18:06:07,5.336,45,29,1.91,-66,75,0
2025-01-27 18:06:08,5.976,11,27,2.4,-89,57,1
2025-01-27 18:06:09,6.744,39,22,2.06,-71,82,1
2025-01-27 18:06:10,5.8,23,17,2.51,-64,82,0
2025-01-27 18:06:11,2.144,41,46,0.75,-67,86,1
2025-01-27 18:06:12,7.152,29,18,0.8,-62,66,1
2025-01-27 18:06:13,5.504,33,28,1.09,-79,73,0
2025-01-27 18:06:14,4.272,48,45,0.19,-79,86,1
2025-01-27 18:06:15,2.448,23,41,0.29,-73,67,0
2025-01-27 18:06:16,7.312,46,20,2.92,-83,81,1
2025-01-27 18:06:17,2.592,45,40,1.85,-62,60,0
2025-01-27 18:06:18,1.552,23,27,1.36,-84,66,0
2025-01-27 18:06:19,5.024,21,14,1.52,-65,60,1
2025-01-27 18:06:20,3.056,24,45,1.13,-69,84,0
2025-01-27 18:06:21,4.72,42,15,0.32,-77,61,0
2025-01-27 18:06:22,4.896,13,34,2.78,-70,67,1
2025-01-27 18:06:23,3.168,11,46,0.3,-72,80,1
2025-01-27 18:06:24,3.056,20,36,1.29,-75,50,1
2025-01-27 18:06:25,1.312,29,42,1.7,-64,55,0
2025-01-27 18:06:26,4.416,22,39,1.85,-89,89,1
2025-01-27 18:06:27,1.8,46,29,0.65,-63,73,0
2025-01-27 18:06:28,7.576,15,44,1.77,-78,78,0
2025-01-27 18:06:29,3.184,17,26,0.63,-63,65,1
2025-01-27 18:06:30,2.144,48,32,0.61,-70,74,1
2025-01-27 18:06:31,1.432,23,49,0.76,-76,72,0
2025-01-27 18:06:32,4.088,35,17,0.51,-80,77,1
2025-01-27 18:06:33,1.136,41,19,1.66,-86,57,0
2025-01-27 18:06:34,6.136,39,29,1.01,-77,79,1
2025-01-27 18:06:35,3.584,13,17,1.01,-82,62,0
2025-01-27 18:06:36,1.008,48,23,1.86,-66,87,0
2025-01-27 18:06:37,2.664,40,42,1.18,-71,86,1
2025-01-27 18:06:38,5.704,39,12,1.7,-70,87,1
2025-01-27 18:06:39,6.528,43,18,2.9,-61,62,1
2025-01-27 18:06:40,3.64,15,27,0.8,-66,68,0
2025-01-27 18:06:41,0.928,37,49,1.39,-87,72,0
2025-01-27 18:06:42,3.0,23,17,0.53,-61,64,1
2025-01-27 18:06:43,5.376,41,24,1.94,-66,89,0
2025-01-27 18:06:44,2.816,28,27,0.69,-63,81,1
2025-01-27 18:06:45,5.808,33,42,0.11,-62,55,1
2025-01-27 18:06:46,5.4,22,24,2.73,-86,81,0
2025-01-27 18:06:47,6.656,40,13,2.29,-71,89,0
2025-01-27 18:06:48,0.952,38,42,0.93,-72,56,1
2025-01-27 18:06:49,4.976,11,19,1.07,-88,60,1
2025-01-27 18:06:50,6.216,46,20,1.74,-83,81,0
2025-01-27 18:06:51,2.512,44,35,1.28,-72,67,1
2025-01-27 18:06:52,3.928,14,10,0.1,-65,80,0
2025-01-27 18:06:53,7.824,17,20,1.34,-62,52,1
2025-01-27 18:06:54,6.448,18,20,2.74,-74,52,0
2025-01-27 18:06:55,3.248,18,47,1.95,-80,50,0
2025-01-27 18:06:56,6.984,35,11,0.4,-80,68,0
2025-01-27 18:06:57,3.912,27,28,1.71,-80,63,1
2025-01-27 18:06:58,7.0,17,26,2.45,-81,65,1
2025-01-27 18:06:59,5.096,13,16,0.43,-72,58,0
2025-01-27 18:07:00,3.064,49,31,0.17,-84,72,1
2025-01-27 18:07:01,3.232,35,32,0.13,-87,89,0
2025-01-27 18:07:02,2.984,44,42,2.48,-76,51,1
2025-01-27 18:07:03,1.976,24,31,1.72,-85,51,1
2025-01-27 18:07:04,2.064,34,41,0.21,-76,85,0
2025-01-27 18:07:05,2.736,45,33,0.31,-65,62,1
2025-01-27 18:07:06,1.048,16,24,2.07,-65,68,1
2025-01-27 18:07:07,4.24,47,45,0.35,-79,74,0
2025-01-27 18:07:08,4.512,39,17,2.77,-67,79,0
